Hospital,Hospital type,Control type,Cost To Charge Ratio,Fiscal Year Begin Date,Total Bad Debt expense,Urban (1) and Rural (2) Indicator,FTE Employees on Payroll,Total Salaries,Total Days Title XVIII,Total Costs,Medicaid charges,HVBP payment adjustment amount,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Interim payments,NUMBER OF BEDS: ICU,Total discharges,BED DAYS: Total Hospital,Total Charges,REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Fiscal Year End Date,Cost of Uncompensated Care,State,IPPS Payment amount (unadjusted),NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: Total Hospital,Net Revenue from Medicaid,Total Liabilities,Number of Interns & Residents,Total Days,IPPS Interim payment,Total cost of charity care,FFY
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-Hospital District,1.048748,2014-07-01 00:00:00,,1.0,,17509916.0,2759.0,32758138.0,,,,17149886.0,13531.0,,1676.0,29200.0,31235477.0,18326.0,,,2015-06-30,-27117.0,AK,,80.0,80.0,,,260.9,23643.0,,,2014
ALASKA REGIONAL HOSPITAL (020017),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.227539,2014-01-01 00:00:00,15281101.0,1.0,,54054143.0,8635.0,149599114.0,68563000.0,-24043.0,75053.0,51691254.0,5174320.0,24.0,5090.0,40800.0,657467002.0,5222582.0,,,2014-12-31,10295969.0,AK,31516372.0,85.0,116.0,15535874.0,-141894129.0,612.98,23191.0,29517942.0,6787212.0,2014
ALASKA SPECIALTY HOSPITAL  LLC (022001),General Long Term,Proprietary-Partnership,,2014-01-01 00:00:00,,1.0,,16779039.0,5834.0,36858438.0,,,,,,,319.0,21716.0,71389786.0,,,,2014-12-31,,AK,,59.0,59.0,,30350659.0,250.75,11649.0,,,2014
ALBANY AREA HOSPITAL (241331),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.635869,2014-07-01 00:00:00,290098.0,2.0,,4894268.0,629.0,10368460.0,1805023.0,,,,1716095.0,,145.0,6205.0,16305969.0,1379811.0,,,2015-06-30,275673.0,MN,,17.0,17.0,1083265.0,-3948380.0,35.58,838.0,,93490.0,2014
ALBANY MEDICAL CENTER HOSPITAL (330013),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.256164,2014-01-01 00:00:00,11555203.0,1.0,341.56,253044323.0,53981.0,690391293.0,550930533.0,-31708.0,,219491693.0,19669724.0,64.0,32404.0,236885.0,2695116193.0,20205164.0,,,2014-12-31,12655732.0,NY,152470504.0,512.0,649.0,123233408.0,639118982.0,4524.64,196663.0,142628042.0,9649311.0,2014
ALBANY MEMORIAL HOSPITAL (330003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.291715,2014-07-01 00:00:00,9769210.0,1.0,,39449603.0,5570.0,83385847.0,47687910.0,-32061.0,,32598058.0,7124799.0,16.0,3101.0,26645.0,285847044.0,7223745.0,,,2015-06-30,3140291.0,NY,10348351.0,57.0,73.0,8849186.0,14568023.0,620.0,15215.0,8077468.0,270918.0,2014
ALBERT EINSTEIN MEDICAL CENTER (390142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.159671,2014-07-01 00:00:00,79491157.0,1.0,352.11,268397754.0,26916.0,499597892.0,952912632.0,-111844.0,786776.0,209433387.0,24890334.0,32.0,24046.0,148555.0,3128912340.0,24145952.0,,,2015-06-30,25906832.0,PA,128157989.0,336.0,407.0,141496202.0,509994717.0,3741.1,104350.0,115847960.0,12426692.0,2014
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),Psychiatric,Governmental-State,,2014-07-01 00:00:00,,2.0,,3265136.0,1608.0,4771799.0,,,,,,,79.0,5840.0,30191.0,,,,2015-06-30,,MN,,16.0,16.0,,,35.48,4313.0,,,2014
ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031),Psychiatric,Voluntary Nonprofit-Church,,2014-07-01 00:00:00,,1.0,,36939396.0,15896.0,50987628.0,,,,25034924.0,612530.0,,5908.0,51465.0,148015197.0,647276.0,,,2015-06-30,,IL,,141.0,141.0,,12995469.0,554.13,46566.0,,,2014
ALEXIAN BROTHERS MEDICAL CENTER (140258),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.204651,2014-07-01 00:00:00,13928000.0,1.0,,136652231.0,38315.0,402551435.0,200801813.0,315046.0,,128142966.0,32515364.0,36.0,16327.0,93805.0,1967013927.0,32593211.0,,,2015-06-30,10165012.0,IL,77338667.0,221.0,257.0,31947522.0,112284278.0,1745.18,79716.0,69150775.0,7048690.0,2014
ALFRED I DUPONT HOSP FOR CHILDREN (083300),Childrens,Voluntary Nonprofit-Other,,2014-01-01 00:00:00,,1.0,66.67,258494289.0,354.0,363844197.0,,,,,116857.0,60.0,8687.0,71540.0,926829866.0,111118.0,,,2014-12-31,,DE,,112.0,196.0,,92605750.0,2616.12,48375.0,,,2014
ALHAMBRA (054032),Psychiatric,Proprietary-Corporation,,2014-02-01 00:00:00,,1.0,,10807552.0,3935.0,14964021.0,,,,,1855017.0,,5059.0,35405.0,56491708.0,1892892.0,,,2015-01-31,,CA,,97.0,97.0,,28947363.0,205.16,31371.0,,,2014
ALHAMBRA HOSPITAL (050281),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.145327,2014-07-01 00:00:00,3173934.0,1.0,,31755171.0,6669.0,76269720.0,201579094.0,-4207.0,,30309960.0,2822828.0,13.0,5317.0,36865.0,524813734.0,2453494.0,,,2015-06-30,833330.0,CA,18110576.0,88.0,101.0,16670290.0,67477034.0,411.68,19214.0,16585583.0,236482.0,2014
ALICE HYDE MEDICAL CENTER (330084),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.387024,2014-01-01 00:00:00,2559493.0,2.0,,34935056.0,3733.0,58215599.0,24072020.0,-10339.0,,22236973.0,5453290.0,6.0,2103.0,27740.0,150418683.0,5557564.0,,,2014-12-31,1007182.0,NY,6699886.0,70.0,76.0,6934251.0,42863341.0,487.6,8414.0,6231893.0,36037.0,2014
ALICE PECK DAY MEMORIAL HOSPITAL (301305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.699937,2013-10-01 00:00:00,3621037.0,2.0,,27261847.0,2937.0,44642872.0,8095295.0,,,,4622496.0,,1102.0,8395.0,63781245.0,5459682.0,,,2014-09-30,3159010.0,NH,,23.0,23.0,2697969.0,25711242.0,363.62,5222.0,,763663.0,2014
ALL CHILDRENS HOSPITAL (103300),Childrens,Voluntary Nonprofit-Other,,2014-07-01 00:00:00,,1.0,46.7,225337299.0,60.0,378543578.0,,,,,839697.0,28.0,7708.0,94535.0,1315322823.0,409413.0,,,2015-06-30,,FL,,112.0,259.0,,325704000.0,2475.4,66441.0,,,2014
ALLE-KISKI MEDICAL CENTER (390032),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.252798,2014-07-01 00:00:00,5080681.0,1.0,,36110995.0,5553.0,103582103.0,47147266.0,-21376.0,,31235724.0,4056856.0,16.0,4983.0,68620.0,409742972.0,4149190.0,,,2015-06-30,3924734.0,PA,11817715.0,172.0,188.0,7605994.0,88335726.0,787.56,19819.0,10191145.0,2669580.0,2014
ALLEGAN GENERAL HOSPITAL (231328),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.45964,2014-01-01 00:00:00,3690671.0,2.0,,18100246.0,1494.0,36935288.0,12524658.0,,,15242562.0,4576915.0,,838.0,9125.0,80356922.0,4300436.0,,,2014-12-31,1765493.0,MI,,25.0,25.0,1868880.0,23787761.0,262.48,2940.0,,251856.0,2014
ALLEGHANY MEMORIAL HOSPITAL (341320),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.50507,2013-10-01 00:00:00,1329998.0,2.0,,5139590.0,1727.0,9668627.0,2368199.0,,,,1777470.0,,509.0,9125.0,19143161.0,1723537.0,,,2014-09-30,656919.0,NC,,25.0,25.0,1049802.0,6105005.0,117.91,2649.0,,59393.0,2014
ALLEGHENY GENERAL HOSPITAL (390050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.215534,2014-07-01 00:00:00,4313840.0,1.0,307.23,180546315.0,30381.0,518170376.0,272753218.0,-178553.0,,146759415.0,19024665.0,50.0,23596.0,186484.0,2404128518.0,19198871.0,,,2015-06-30,19198816.0,PA,131858299.0,400.0,512.0,44150656.0,480592820.0,3470.11,126786.0,120340526.0,18191756.0,2014
ALLEGIANCE BEHAVIORAL CTR OF PLAINVI (454101),Psychiatric,Proprietary-Corporation,0.292318,2014-01-01 00:00:00,,2.0,,1847415.0,3721.0,4634497.0,,,,1847415.0,1263054.0,,298.0,7300.0,15854294.0,1222774.0,,,2014-12-31,-59244.0,TX,,20.0,20.0,,3354198.0,76.6,4387.0,,,2014
ALLEGIANCE HEALTH CTR OF RUSTON (194087),Psychiatric,Proprietary-Corporation,0.222055,2014-01-01 00:00:00,,2.0,,1738724.0,3339.0,4868298.0,,,,1738727.0,1739455.0,,277.0,5110.0,21923858.0,1774925.0,,,2014-12-31,-15453.0,LA,,14.0,14.0,,-839889.0,69.65,3978.0,,,2014
ALLEGIANCE SPECIALTY HOSPITAL OF GRE (252013),General Long Term,Proprietary-Corporation,0.307492,2013-11-01 00:00:00,,2.0,,4687585.0,9286.0,11122224.0,,,,4687585.0,694520.0,,366.0,14235.0,36170781.0,708688.0,,,2014-10-31,-86818.0,MS,,39.0,39.0,,4379220.0,89.64,9812.0,,,2014
ALLEGIANCE SPECIALTY HOSPITAL OF KIL (450488),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.36418,2014-09-01 00:00:00,717651.0,1.0,,3397095.0,24.0,8656078.0,,,,1381964.0,1613593.0,,7.0,13870.0,23768666.0,1646543.0,,,2015-08-31,251178.0,TX,28226.0,38.0,38.0,,4646774.0,37.11,31.0,155407.0,,2014
ALLEN COUNTY REGIONAL HOSPITAL (171373),General Short Term (Critical Access Hospitals),Governmental-County,0.464411,2014-01-01 00:00:00,1763304.0,2.0,,6540730.0,2426.0,18693931.0,3957919.0,,,,1450780.0,4.0,874.0,9125.0,40253004.0,2001921.0,,,2014-12-31,843388.0,KS,,21.0,25.0,800988.0,6174590.0,112.78,3611.0,,79877.0,2014
ALLEN MEMORIAL HOSPITAL (160110),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.301734,2014-01-01 00:00:00,7158111.0,1.0,8.21,70422903.0,17527.0,159822464.0,62552474.0,-44160.0,,56860440.0,23292337.0,19.0,9787.0,68255.0,529679557.0,23783386.0,,,2014-12-31,4914118.0,IA,44820852.0,168.0,187.0,20746769.0,99391462.0,1177.26,36532.0,39072356.0,2748240.0,2014
ALLEN PARISH HOSPITAL (190133),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.530698,2014-07-01 00:00:00,2474018.0,2.0,,5506355.0,746.0,9505337.0,3447545.0,,,3423613.0,262539.0,,159.0,9125.0,17911009.0,267950.0,,,2015-06-30,1313999.0,LA,488416.0,25.0,25.0,2604207.0,3386508.0,80.31,1193.0,504602.0,5266.0,2014
ALLENDALE COUNTY HOSPITAL (421300),General Short Term (Critical Access Hospitals),Governmental-County,0.68742,2013-10-01 00:00:00,2723139.0,2.0,,6340605.0,869.0,11119059.0,688320.0,,,,820762.0,,219.0,9125.0,16175063.0,722367.0,,,2014-09-30,2096125.0,SC,,25.0,25.0,304752.0,3773534.0,105.55,2129.0,,284511.0,2014
ALLIANCE COMMUNITY HOSPITAL (360131),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.435693,2014-01-01 00:00:00,5579137.0,1.0,7.32,38609524.0,3372.0,79840825.0,26460857.0,-7509.0,,30949039.0,6313274.0,12.0,2597.0,38090.0,183249985.0,6268315.0,,,2014-12-31,5061700.0,OH,8172909.0,88.0,100.0,7155942.0,57349392.0,601.65,9222.0,6983490.0,2716792.0,2014
ALLIANCE HEALTH CENTER (250151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.262976,2014-01-01 00:00:00,837316.0,2.0,,10930303.0,1481.0,19321367.0,18439835.0,,,4067438.0,682890.0,,646.0,3285.0,73472105.0,696829.0,,,2014-12-31,241777.0,MS,1684258.0,9.0,9.0,8337453.0,70034975.0,,4085.0,1732507.0,,2014
ALLIANCE HEALTHCARE SYSTEM (250012),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.553536,2014-01-01 00:00:00,1450655.0,1.0,,4455672.0,1380.0,9944232.0,1093392.0,,,2530794.0,241601.0,,440.0,9855.0,17964917.0,246531.0,,,2014-12-31,791281.0,MS,1335124.0,27.0,27.0,801927.0,8843068.0,69.99,2003.0,1400112.0,12505.0,2014
ALLIANCEHEALTH DURANT (370014),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.081014,2013-10-01 00:00:00,19278904.0,2.0,10.49,23144068.0,12224.0,59524939.0,176485232.0,-55371.0,,22545556.0,6276799.0,8.0,6532.0,54020.0,734748068.0,6100110.0,,,2014-09-30,4719122.0,OK,23373148.0,140.0,148.0,10166432.0,-64502106.0,365.4,22744.0,20457750.0,2942599.0,2014
ALLIANCEHEALTH MIDWEST (370094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.108666,2014-07-01 00:00:00,34231349.0,1.0,,43733503.0,18083.0,127394714.0,192009046.0,-109373.0,,41679279.0,7190659.0,24.0,8977.0,79935.0,1172347148.0,6878879.0,,,2015-06-30,12291778.0,OK,31916102.0,195.0,219.0,12210712.0,82384916.0,748.23,39838.0,27177662.0,8365736.0,2014
ALLIED SERVICES REHAB HOSPITAL (393030),Rehabilitation,Voluntary Nonprofit-Other,0.537424,2014-07-01 00:00:00,,1.0,,18354465.0,14813.0,36052642.0,,,,17313410.0,4726.0,,1927.0,29930.0,67084199.0,4822.0,,,2015-06-30,-7106.0,PA,,82.0,82.0,,9829989.0,324.29,20038.0,,,2014
ALLINA HEALTH FARIBAULT MEDICAL CTR (240071),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.454408,2014-01-01 00:00:00,4530911.0,2.0,,16568524.0,1934.0,38311275.0,14937359.0,6535.0,,14896631.0,3372524.0,6.0,1779.0,14600.0,84310302.0,3442085.0,,,2014-12-31,4002687.0,MN,5142772.0,34.0,40.0,5405785.0,12945572.0,251.38,5436.0,5339881.0,1950555.0,2014
ALPENA REGIONAL MEDICAL CENTER (230036),General Short Term (Acute Care Hospitals),Governmental-Other,0.293786,2014-07-01 00:00:00,5572775.0,1.0,,50819789.0,9418.0,84548003.0,40927540.0,-115.0,,35195419.0,15984401.0,9.0,3914.0,35040.0,287787554.0,15756308.0,,,2015-06-30,1839375.0,MI,21531905.0,87.0,96.0,7108324.0,65894803.0,880.9,15813.0,19751872.0,111422.0,2014
ALTA BATES MEDICAL CENTER (050305),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.252542,2014-01-01 00:00:00,7552128.0,1.0,,207851035.0,15474.0,495551865.0,497504114.0,-216149.0,132327.0,196552313.0,29023256.0,30.0,15012.0,120450.0,1962255022.0,29104252.0,,,2014-12-31,14394195.0,CA,59011401.0,262.0,347.0,66823191.0,81617408.0,1549.43,78177.0,59537652.0,12334750.0,2014
ALTA VIEW HOSPITAL (460044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.364924,2014-01-01 00:00:00,7572524.0,1.0,,24115972.0,1609.0,73120977.0,15230818.0,3795.0,,26863962.0,4438276.0,4.0,3332.0,24090.0,200372913.0,4510218.0,,,2014-12-31,4829984.0,UT,5119581.0,62.0,66.0,5231772.0,-161498002.0,408.0,11301.0,4032574.0,2066816.0,2014
ALTA VISTA REGIONAL HOSPITAL (320003),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.166031,2014-09-01 00:00:00,2897768.0,2.0,,10743906.0,1949.0,26225452.0,58388308.0,5580.0,,10768330.0,2224410.0,8.0,1441.0,16790.0,157954711.0,2219046.0,,,2015-08-31,942834.0,NM,4368780.0,38.0,46.0,6897334.0,-59904977.0,173.79,4547.0,4255423.0,433434.0,2014
ALTON MEMORIAL HOSPITAL (140002),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.249216,2014-01-01 00:00:00,9335626.0,1.0,,38493982.0,11652.0,104199871.0,63639951.0,85610.0,,36223441.0,12784780.0,12.0,6954.0,48180.0,418110833.0,12732312.0,,,2014-12-31,3804887.0,IL,23266999.0,120.0,132.0,8488119.0,10499690.0,660.72,23932.0,20882336.0,1367489.0,2014
ALTON MENTAL HEALTH CENTER (144016),Psychiatric,Governmental-State,88.714883,2014-07-01 00:00:00,,1.0,,20261766.0,246.0,38818084.0,,,,9845914.0,-1023.0,,42.0,8760.0,437560.0,176300.0,,,2015-06-30,-1568745.0,IL,,24.0,24.0,,,266.34,4466.0,,,2014
ALTOONA REGIONAL HEALTH SYSTEM (390073),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.319386,2014-07-01 00:00:00,23448642.0,1.0,26.59,139519352.0,25855.0,390754152.0,179055411.0,-236632.0,,129981913.0,22867124.0,33.0,17443.0,133397.0,1223455801.0,22375416.0,,,2015-06-30,11743079.0,PA,54622093.0,327.0,368.0,31732792.0,27907633.0,2274.19,84054.0,48324646.0,4194386.0,2014
ALTRU HEALTH SYSTEM-ALTRU HOSPITAL (350019),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.317659,2014-01-01 00:00:00,18635690.0,1.0,32.6,243524896.0,22063.0,323306942.0,94653901.0,-143705.0,,145676325.0,36683211.0,16.0,11288.0,88330.0,1017779899.0,37074275.0,,,2014-12-31,7690223.0,ND,56436639.0,216.0,242.0,56761267.0,274517289.0,3086.34,50497.0,52990526.0,1739464.0,2014
ALVARADO HOSPITAL MEDICAL CENTER (050757),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.185407,2014-01-01 00:00:00,7074898.0,1.0,,49846259.0,10601.0,119975733.0,152898397.0,-142853.0,,48404222.0,6344383.0,28.0,6204.0,92710.0,647093796.0,6357147.0,,,2014-12-31,1617528.0,CA,35476398.0,226.0,254.0,14615512.0,128344544.0,679.02,28784.0,31702873.0,126519.0,2014
ALVARADO PARKWAY INSTITUTE (054075),Psychiatric,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,12121416.0,11052.0,19826699.0,,,,,5660784.0,,2247.0,22242.0,53707052.0,5776371.0,,,2014-12-04,,CA,,66.0,66.0,,8198001.0,231.0,22194.0,,,2014
AMERICAN FORK HOSPITAL (460023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.347059,2014-01-01 00:00:00,7720664.0,1.0,,31727482.0,2752.0,89917043.0,25268084.0,9270.0,,35683617.0,4500894.0,18.0,5943.0,32850.0,259082856.0,4572955.0,,,2014-12-31,4925272.0,UT,7865214.0,72.0,90.0,11435246.0,5860225.0,569.41,21182.0,6839898.0,2245605.0,2014
AMERICAN LEGION HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.419209,2014-01-01 00:00:00,,2.0,,5879521.0,2476.0,13235266.0,3381399.0,-15464.0,,5633575.0,1403252.0,4.0,1035.0,21140.0,31571992.0,1431986.0,,,2014-05-31,-19119.0,LA,3660621.0,136.0,140.0,1236478.0,10944135.0,311.4,5060.0,3295159.0,15933.0,2014
AMERICAN ONCOLOGIC HOSPITAL (390196),Cancer (Acute Care Hospitals),Voluntary Nonprofit-Other,,2014-07-01 00:00:00,,1.0,37.43,73721700.0,8218.0,227005221.0,,,,,59684165.0,8.0,4180.0,36500.0,1252516953.0,39948016.0,0.9,,2015-06-30,,PA,,92.0,100.0,,135354519.0,1047.0,22436.0,,,2014
AMERY REGIONAL MEDICAL CENTER (521308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.639772,2014-01-01 00:00:00,1817755.0,2.0,,16873613.0,1682.0,44437682.0,8680624.0,,,,7028098.0,2.0,1185.0,6125.0,69458587.0,7878223.0,,,2014-12-31,1447146.0,WI,,23.0,25.0,3597351.0,42425169.0,306.41,3074.0,,467264.0,2014
ANAHEIM REGIONAL MEDICAL CENTER (050226),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.14836,2014-07-01 00:00:00,10534877.0,1.0,,81403445.0,13862.0,207300160.0,113667513.0,-118053.0,262242.0,84267537.0,6589324.0,32.0,11808.0,81395.0,1397282623.0,6418563.0,,,2015-06-30,4763696.0,CA,34904910.0,180.0,223.0,27662253.0,44971991.0,855.68,53594.0,30602839.0,2926366.0,2014
ANCORA PSYCHIATRIC HOSPITAL (314005),Psychiatric,Governmental-State,101.191637,2014-07-01 00:00:00,,1.0,,94214912.0,4084.0,143430949.0,,,,93188868.0,1475447.0,,855.0,258785.0,4254314.0,1669536.0,,,2015-06-30,-23906423.0,NJ,,709.0,709.0,,,1410.0,157491.0,,,2014
ANDALUSIA REGIONAL HOSPITAL (010036),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.164556,2014-04-01 00:00:00,13211338.0,2.0,,11893915.0,5908.0,29091375.0,26026541.0,17137.0,,11450882.0,3696859.0,8.0,3160.0,32120.0,176787239.0,3592529.0,,,2015-03-31,2236999.0,AL,9148433.0,80.0,88.0,2535479.0,-21302884.0,238.87,11721.0,7965509.0,1856.0,2014
ANDERSON COUNTY HOSPITAL (171316),Critical Access Hospitals,Voluntary Nonprofit-Other,0.734467,2014-01-01 00:00:00,936126.0,2.0,,7989648.0,1054.0,18280674.0,2766152.0,,,,2823866.0,,103.0,2920.0,24889707.0,3125854.0,,,2014-12-31,737018.0,KS,,8.0,8.0,1956377.0,6209086.0,144.23,1228.0,,140914.0,2014
ANDERSON HOSPITAL (140289),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.234971,2014-01-01 00:00:00,4141465.0,1.0,,46478482.0,8479.0,99200759.0,43748685.0,-28123.0,51075.0,46549871.0,8009045.0,12.0,6722.0,48910.0,422183473.0,7979311.0,,,2014-12-31,3801439.0,IL,18961883.0,122.0,134.0,6015810.0,79025205.0,862.62,25617.0,16664488.0,2753182.0,2014
ANDERSON REGIONAL MED CTR-SOUTH CAMP (250081),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.425971,2013-10-01 00:00:00,1827693.0,2.0,,10712442.0,6003.0,27394172.0,7604632.0,,,7452732.0,3908936.0,,872.0,12045.0,64309922.0,3989310.0,,,2014-09-30,1136560.0,MS,8388.0,33.0,33.0,2888571.0,373955.0,167.46,6645.0,8703.0,358016.0,2014
ANDROSCOGGIN VALLEY HOSPITAL (301310),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.572656,2014-01-01 00:00:00,2504772.0,2.0,,23348528.0,3824.0,41807853.0,9121523.0,,,,5279120.0,,1358.0,9125.0,73006903.0,8235576.0,,,2014-12-31,2433095.0,NH,,25.0,25.0,3572466.0,41420851.0,333.93,5625.0,,1152429.0,2014
ANGEL MEDICAL CENTER (341326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.360759,2013-10-01 00:00:00,5497894.0,2.0,,22270406.0,3792.0,44100905.0,18119962.0,,,,6314344.0,5.0,1686.0,9125.0,122244786.0,4872924.0,,,2014-09-30,4729797.0,NC,,20.0,25.0,5039806.0,25376412.0,345.02,6214.0,,2789775.0,2014
ANGLETON-DANBURY MEDICAL CENTER (450591),General Short Term (Acute Care Hospitals),Governmental-Hospital District,0.346772,2013-10-01 00:00:00,13529430.0,2.0,,12162905.0,1763.0,26858095.0,12308545.0,-11920.0,,12162905.0,1651905.0,10.0,1947.0,19840.0,77451638.0,1687119.0,,,2014-08-16,4687082.0,TX,4232363.0,52.0,62.0,1815567.0,14455068.0,212.3,5545.0,3641317.0,,2014
ANIMAS SURGICAL HOSPITAL (060117),General Short Term (Acute Care Hospitals),Proprietary-Partnership,0.257687,2014-01-01 00:00:00,1605474.0,2.0,,6883238.0,532.0,19863732.0,10367131.0,7785.0,,6067724.0,3001107.0,,457.0,4380.0,77084625.0,3061531.0,,,2014-12-31,434471.0,CO,2580280.0,12.0,12.0,1563295.0,3974784.0,95.72,1058.0,2271814.0,20761.0,2014
ANMED HEALTH (420027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.169616,2014-01-01 00:00:00,121023761.0,1.0,31.38,182268844.0,35796.0,326576386.0,214997843.0,153492.0,,126835043.0,29347693.0,25.0,19183.0,132495.0,1925391490.0,29423251.0,,,2014-12-31,34438074.0,SC,72429647.0,323.0,363.0,37988210.0,368482212.0,2986.12,81920.0,64802817.0,13638978.0,2014
ANMED HEALTH REHABILITATION HOSPITAL (423029),Rehabilitation,Proprietary-Partnership,0.370091,2014-01-01 00:00:00,,1.0,,7977218.0,15415.0,14057485.0,,,,7973618.0,8209.0,,1445.0,20075.0,37983828.0,8377.0,,,2014-12-31,-1621.0,SC,,55.0,55.0,,8650488.0,158.96,17988.0,,,2014
ANN & ROBERT H. LURIE CHILDRENS HOS (143300),Childrens,Voluntary Nonprofit-Other,,2014-09-01 00:00:00,,1.0,253.78,290645245.0,359.0,531047396.0,,,,,1371892.0,40.0,12133.0,105120.0,1651328479.0,1400697.0,,,2015-08-31,,IL,,168.0,288.0,,621027539.0,3543.27,71919.0,,,2014
ANNA JAQUES HOSPITAL (220029),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.463649,2013-10-01 00:00:00,2927076.0,1.0,,53011850.0,11109.0,106745910.0,32115122.0,-8529.0,,51139445.0,11845016.0,8.0,5899.0,43800.0,230229983.0,11914618.0,,,2014-09-30,1933890.0,MA,24071494.0,112.0,120.0,13852437.0,59115501.0,691.0,26312.0,21165398.0,659729.0,2014
ANNANDALE BEHAVIORAL HEALTH HSP (244011),Psychiatric,Governmental-State,,2014-07-01 00:00:00,,2.0,,3366278.0,1103.0,4378741.0,,,,,,,109.0,5840.0,26082.0,,,,2015-06-30,,MN,,16.0,16.0,,,33.91,4347.0,,,2014
ANNAPOLIS (230142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.227555,2014-01-01 00:00:00,13012008.0,1.0,33.96,61251664.0,15482.0,120356571.0,142853347.0,-102483.0,,52721785.0,9207957.0,18.0,8370.0,54900.0,528912357.0,8914796.0,,,2014-12-31,7169622.0,MI,35167308.0,149.0,167.0,20821701.0,1225711.0,997.11,32700.0,31551173.0,3946604.0,2014
ANNE ARUNDEL MEDICAL CENTER INC. (210023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.72362,2014-07-01 00:00:00,14258791.0,1.0,,192664664.0,48617.0,411497273.0,14356297.0,,,177269698.0,60673393.0,20.0,30936.0,140160.0,568664654.0,44062383.0,,,2015-06-30,12862051.0,MD,121367881.0,364.0,384.0,12825328.0,525955000.0,2651.95,115045.0,108297783.0,2544105.0,2014
ANNE BATES LEACH EYE HOSPITAL (100240),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.25593,2014-06-01 00:00:00,13742314.0,1.0,21.58,30879845.0,55.0,101532256.0,49586519.0,,,27437960.0,19071475.0,,66.0,20440.0,396718594.0,19155482.0,,,2015-05-31,3552009.0,FL,263451.0,56.0,56.0,8935589.0,12790591.0,519.43,215.0,257870.0,52045.0,2014
ANNIE JEFFREY MEM. CNTY HLTH. CTR. (281314),General Short Term (Critical Access Hospitals),Governmental-County,0.940733,2014-07-01 00:00:00,89154.0,2.0,,2393914.0,371.0,6341548.0,446046.0,,,,1225155.0,,126.0,5475.0,6741070.0,1363810.0,,,2015-06-30,143899.0,NE,,15.0,15.0,500389.0,3498965.0,49.24,506.0,,60870.0,2014
