Hospital,Hospital type,Control type,Total cost of charity care,HVBP payment adjustment amount,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Fiscal Year End Date,"ADJUSTED SALARIES, Subtotal Salaries",NUMBER OF BEDS: Adults & Pediatrics,"Donations, Land Improvements",Total Liabilities,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Salaries,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Interim payments,Net Revenue from Medicaid,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),BED DAYS: Total Hospital,Total Costs,NUMBER OF BEDS: ICU,Cost of Uncompensated Care,Cost To Charge Ratio,Number of Interns & Residents,Fiscal Year Begin Date,BALANCE SHEET: Inventory (G_C1THRU4_7),FTE Employees on Payroll,REIMBURSEMENT SETTLEMENT: Subtotal,Total Inpatient Days,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),IPPS Interim payment,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),HAC reduction adjustment amount,NUMBER OF BEDS: Total Hospital,State,Total discharges,Report_Period_Begin_Yr,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),Psychiatric,Governmental-State,,,1238.0,2.0,2011-06-30,,14.0,,,,,,2715177.0,-4370476.0,,,,,,,5110.0,4377189.0,,,,34.58,2010-07-01 00:00:00,,,,4083.0,,356987.0,,,,,,24498.0,,,14.0,MN,228.0,2010,,,0.0,,,,,,,,,,,,,,,govt
ALHAMBRA HOSPITAL (050281),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1004426.0,,9802.0,1.0,2011-06-30,25112209.0,88.0,,27210329.0,75476168.0,,27210329.0,28381401.0,16859096.0,24744311.0,3180237.0,7775198.0,7265473.0,59692805.0,16682245.0,36865.0,60746951.0,13.0,2073883.0,0.167355,433.11,2010-07-01 00:00:00,766978.0,,2911540.0,17589.0,,4210075.0,,6711796.0,25225465.0,78580043.0,31858854.0,362983409.0,66358780.0,,101.0,CA,3910.0,2010,32482476.0,13150763.096265001,16682245.0,0.22336979270065752,9061439.0,0.12005695625670874,1.1708367804005604,3.0518199541063984,0.8959862264068913,0.61308501635537,0.8376925761447496,0.4558393427817641,0.5441606572182359,,32482476.0,1.2644098061734577,1.1373953529585685,for-profit
ALICE PECK DAY MEMORIAL HOSPITAL (301305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,603118.0,,3208.0,2.0,2011-09-30,,25.0,,19624880.0,,,7433835.0,23389074.0,-48696420.0,,4111684.0,1288645.0,1233514.0,33647872.0,6742002.0,9125.0,38868438.0,,1496366.0,0.735277,339.23,2010-10-01 00:00:00,1220966.0,,4634892.0,5684.0,2801239.0,1378289.0,325234.0,372898.0,,4584217.0,21057299.0,52862301.0,7551295.0,,25.0,NH,990.0,2010,14022992.0,3370669.323109,9543241.0,,,,2.8326293225502046,2.2995581688321036,2.618222626679231,0.9069345768368547,1.3994787988183977,0.5832428273621583,0.4167571726378417,,14022992.0,,,non-profit
ALL CHILDRENS HOSPITAL (103300),Childrens,Voluntary Nonprofit-Other,,,357.0,1.0,2011-09-30,,117.0,,325365000.0,330052975.0,,52075000.0,181253977.0,3459300.0,,325222.0,,,866040000.0,79397000.0,94535.0,295142157.0,23.0,,0.284054,2234.45,2010-10-01 00:00:00,7034000.0,45.33,617138.0,73320.0,1065000.0,41285998.0,,7308000.0,,,137343000.0,1039035975.0,30970000.0,,259.0,FL,9514.0,2010,540675000.0,,80462000.0,0.010481044747437893,-13024030.0,-0.03946042298209856,2.637407585213634,2.1398367738838213,2.3619971195391263,1.5246663466154584,0.6017755583298654,0.37569280864625193,0.6243071913537481,,540675000.0,0.38110592466860654,10.657183564740071,non-profit
ALLE-KISKI MEDICAL CENTER (390032),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,516660.0,,11344.0,1.0,2011-06-30,35894833.0,172.0,,94500552.0,122298018.0,,9367378.0,40999539.0,8966650.0,17830365.0,3399508.0,7409114.0,7708223.0,84166278.0,16879620.0,68620.0,104253993.0,16.0,2372293.0,0.242165,836.57,2010-07-01 00:00:00,1480293.0,,3249180.0,36589.0,,7611550.0,,710046.0,16253253.0,45615649.0,28942919.0,430507875.0,11080766.0,,188.0,PA,8011.0,2010,-10334274.0,11046513.640084999,16879620.0,0.07331803202239957,2579586.0,0.02109262310367123,3.089756706732663,2.9848679107430063,2.8559304428624532,1.801957815730293,-9.144382275910239,1.1227840204600708,-0.12278402046007073,,-10334274.0,1.4530524683531807,11.036964231534174,non-profit
ALLEGHANY MEMORIAL HOSPITAL (341320),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,232927.0,,2197.0,2.0,2011-09-30,,25.0,,5595372.0,9630896.0,,2410215.0,4721052.0,-932831.0,,1603825.0,866388.0,1170793.0,10134068.0,60178.0,9125.0,9724419.0,,768268.0,0.548148,121.02,2010-10-01 00:00:00,305319.0,,1465193.0,3203.0,358076.0,693761.0,93826.0,95714.0,,2148366.0,2430856.0,17740488.0,2571749.0,,25.0,NC,691.0,2010,4538696.0,1177622.526168,418254.0,-0.09685817394352508,-1654662.0,-0.1718076905824754,1.0085639662851655,1.2405544733561114,0.8421750756675235,0.02496789705482706,1.2328148878003726,0.5521348386452508,0.44786516135474913,-10.24130837934048,4538696.0,0.9503484681571113,3.7448817905635425,non-profit
ALLEGHENY GENERAL HOSPITAL (390050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1646733.0,,33099.0,1.0,2011-06-30,147325460.0,421.0,,506733635.0,595064564.0,,56577186.0,179932698.0,41609101.0,116341880.0,13845353.0,47629865.0,,429848004.0,8170595.0,190640.0,543722187.0,52.0,1537819.0,0.253549,3658.29,2010-07-01 00:00:00,10601914.0,301.47,13916502.0,132206.0,,42677929.0,,3618054.0,106114688.0,249631332.0,106836691.0,2144449950.0,78390866.0,,521.0,PA,23932.0,2010,-76885631.0,63293774.59726801,8170595.0,0.06992367470229667,-15139934.0,-0.025442506436998993,1.8883351851398193,1.529971126524391,1.6369976937347148,0.14441501208632046,-6.590745610190804,1.178867018770663,-0.17886701877066294,,-76885631.0,1.3843604215037835,7.590993624180654,non-profit
ALLEGIANCE HOSPITAL OF MIDLAND-PERMI (670064),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,25.0,1.0,2011-09-30,1520963.0,9.0,,6618535.0,4985795.0,,5368535.0,3324024.0,-2197583.0,100831.0,749515.0,,,1566427.0,-165129.0,3276.0,6984777.0,,-48736.0,0.432338,37.52,2010-10-01 00:00:00,,,749515.0,53.0,,19620.0,,,202190.0,,1195884.0,16155818.0,1361013.0,,9.0,TX,22.0,2010,-5052108.0,,0.0,-0.4407688242296364,-2176385.0,-0.4365171452095403,0.22275797773508044,0.25351664839662963,,0.0,-1.310054139776901,4.225243180818512,-3.2252431808185125,,-5052108.0,3.182909257820505,3.663297117661624,for-profit
ALLEGIANCE SPECIALTY HOSPITAL OF KIL (450488),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,85.0,1.0,2011-08-31,2387972.0,48.0,,4934474.0,8534269.0,,4934474.0,3142367.0,971481.0,111708.0,2541559.0,,,4552230.0,148458.0,17472.0,7552244.0,,-57807.0,0.264631,,2010-09-01 00:00:00,118225.0,,2528105.0,120.0,,58536.0,,123684.0,98219.0,,3849250.0,28538753.0,3458883.0,,48.0,TX,41.0,2010,-382244.0,,148458.0,0.11383294808260673,828033.0,0.09702447860502171,0.7800730128479753,0.7310487399467501,0.7310487399467501,0.03008588149415723,-12.909225520871486,1.0839685165292614,-0.08396851652926149,,-382244.0,1.874744685571687,2.467348273994813,for-profit
ALLEGIANCE SPECIALTY HOSPITAL OF LIT (042010),General Long Term,Proprietary-Corporation,,,5155.0,1.0,2011-05-31,2894596.0,40.0,,5859342.0,7239543.0,,5859336.0,2894596.0,-214084.0,,51470.0,,,1313951.0,4593.0,14600.0,7857346.0,,-13396.0,0.404486,59.67,2010-06-01 00:00:00,160332.0,,51470.0,6317.0,,86341.0,,705.0,,,1248228.0,19425513.0,1082598.0,,40.0,AR,233.0,2010,-4545391.0,,4593.0,-0.029571479857223033,-397082.0,-0.05484904226689447,0.2130323299431881,0.18554849901080941,0.18554849901080941,0.0007838772174867596,-1.2890732612441922,4.459330675192606,-3.4593306751926063,,-4545391.0,5.509751124661422,6.687194138544501,for-profit
ALLEN COUNTY REGIONAL HOSPITAL (171373),General Short Term (Critical Access Hospitals),Proprietary-Corporation,41970.0,,2023.0,2.0,2011-10-31,,21.0,,15786700.0,16213489.0,,1390429.0,6019416.0,-1674950.0,,1559791.0,1069290.0,2106261.0,6565433.0,5621.0,9125.0,13291654.0,4.0,653328.0,0.350412,107.41,2010-11-01 00:00:00,446092.0,,1311363.0,3202.0,,624153.0,,69941.0,,6082668.0,4244272.0,37931523.0,4502926.0,,25.0,KS,657.0,2010,-9221267.0,2131439.859216,5621.0,-0.1033059571570314,-1884262.0,-0.11621570162967391,3.05249099378681,3.2425582320276694,2.6813587748817094,0.004042637200461153,-1.7119881682202673,2.4045177218319034,-1.4045177218319036,,-9221267.0,2.4695231830101685,3.600656328795987,for-profit
ALLEN PARISH HOSPITAL (190133),General Short Term (Acute Care Hospitals),Governmental-Hospital District,672692.0,,1047.0,2.0,2011-06-30,3431560.0,25.0,,2245751.0,11606757.0,,1179307.0,5841610.0,-39667.0,819830.0,475766.0,4913597.0,2809430.0,3919098.0,320269.0,9125.0,10768580.0,,2192814.0,0.541759,91.57,2010-07-01 00:00:00,250427.0,,460789.0,1571.0,166340.0,392640.0,62619.0,70217.0,840471.0,6145456.0,2263298.0,19877055.0,4412397.0,,25.0,LA,306.0,2010,1673347.0,3329356.097104,486609.0,-0.0034175782262004795,-845208.0,-0.07282034077218985,1.9191762619911523,4.154139676945867,1.6472843797247028,0.2715738989084267,1.3420713097761552,0.5730275180666572,0.4269724819333428,-7.22732716907009,1673347.0,2.9615888656012173,2.6304879184715246,govt
ALLENDALE COUNTY HOSPITAL (421300),General Short Term (Critical Access Hospitals),Governmental-County,119515.0,,1190.0,2.0,2011-09-30,,25.0,,4792136.0,9926109.0,,2214804.0,5343833.0,-508829.0,,889784.0,1667926.0,1913374.0,6037645.0,229268.0,9125.0,9654902.0,,1334178.0,0.704792,99.17,2010-10-01 00:00:00,210652.0,,674756.0,3207.0,,497284.0,105949.0,283184.0,,2966179.0,2562346.0,13698937.0,4099104.0,,25.0,SC,234.0,2010,1245509.0,2090539.2297679998,229268.0,-0.05126167766241535,-1237048.0,-0.1246256715496475,1.1569177227420575,1.9542912149336917,0.9339472025515576,0.10351615763742525,3.8475322137375163,0.793709467847149,0.20629053215285098,-6.9822650520533465,1245509.0,1.6440365407373239,2.4215313883229115,govt
ALLIED SERVICES REHAB HOSPITAL (393030),Rehabilitation,Voluntary Nonprofit-Other,,,16754.0,1.0,2011-06-30,15960462.0,135.0,,15643061.0,35055785.0,,2844999.0,15960462.0,4952977.0,,13241.0,,,33219692.0,4562345.0,49275.0,31949329.0,,-18272.0,0.525994,345.0,2010-07-01 00:00:00,233231.0,,13241.0,21325.0,17986859.0,701842.0,700361.0,102231.0,,,24709212.0,60740872.0,4918334.0,,135.0,PA,2097.0,2010,17576631.0,,22549204.0,0.14128843499011648,1042855.0,0.029748442375488095,8.68513908089247,9.65467404382216,8.567226209921339,1.603636767534892,0.8899920013112865,0.47089723167812636,0.5291027683218736,2.491139569450612,17576631.0,1.0552712228638363,7.127573076574303,non-profit
ALPENA REGIONAL MEDICAL CENTER (230036),General Short Term (Acute Care Hospitals),Governmental-City,764784.0,,11143.0,1.0,2011-06-30,35994274.0,87.0,,29103182.0,123795735.0,,14585318.0,48212360.0,3555102.0,24723482.0,14717657.0,6416433.0,5897018.0,78114283.0,8445331.0,33601.0,87110666.0,9.0,2348356.0,0.329864,767.5,2010-07-01 00:00:00,3585223.0,,14016520.0,17504.0,,5459025.0,,495192.0,23148462.0,29407927.0,24907142.0,264080411.0,42626834.0,,96.0,MI,4115.0,2010,49011101.0,9700616.431928,8445331.0,0.02871748368390882,-790701.0,-0.006387142497275855,1.7076859071567723,3.501614774528742,1.4279240946272134,0.5790296104616985,0.5938079619962017,0.3725718381105796,0.6274281618894204,,49011101.0,1.5848028074455986,2.9041738122047724,govt
ALTA VISTA REGIONAL HOSPITAL (320003),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2632199.0,,3396.0,2.0,2011-08-31,12929738.0,38.0,,-30703144.0,45177871.0,,-30703144.0,13139600.0,8900026.0,6552665.0,2682519.0,8627130.0,3001870.0,30319591.0,-411101.0,16790.0,29576448.0,8.0,3177830.0,0.197333,,2010-09-01 00:00:00,1099768.0,,2044836.0,7372.0,,1885857.0,,268938.0,6662241.0,39938293.0,5728707.0,149880943.0,6038390.0,,46.0,NM,2069.0,2010,30319591.0,7881143.172569,0.0,0.19699967712068592,8892438.0,0.19683171878550895,inf,inf,inf,,0.0,0.0,1.0,,30319591.0,1.4900554232410326,7.481774280892754,for-profit
ALTON MENTAL HEALTH CENTER (144016),Psychiatric,Governmental-State,,,685.0,1.0,2011-06-30,8950749.0,24.0,,,,,,18798099.0,-24078195.0,,21899.0,,,,,8760.0,34154136.0,,,74.986757,282.01,2010-07-01 00:00:00,,,46225.0,45437.0,,1848080.0,,,,,,454370.0,,,24.0,IL,107.0,2010,,,0.0,,,,,,,,,,,,,,,govt
ALTOONA REGIONAL HEALTH SYSTEM (390073),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2149891.0,,31484.0,1.0,2011-06-30,115838810.0,392.0,,152557199.0,311246124.0,,32276733.0,123372079.0,4783644.0,53483992.0,17096121.0,27934150.0,20847097.0,284587708.0,2892750.0,159081.0,292078947.0,40.0,8380160.0,0.318489,2240.54,2010-07-01 00:00:00,5131842.0,19.03,16446612.0,93199.0,,16114534.0,994625.0,3443661.0,48414776.0,126804800.0,70898696.0,917076424.0,116243077.0,,439.0,PA,18978.0,2010,132030509.0,40385933.9472,2892750.0,0.015369328743833609,-6930974.0,-0.02226846686771913,2.1965883597946547,3.691074527276351,1.9309015258762403,0.0896233828869855,1.155469293843289,0.5360639082837689,0.4639360917162311,9.23318838758326,132030509.0,1.0936738139090674,2.677545467933544,non-profit
AMERICAN ONCOLOGIC HOSPITAL (390196),Cancer (Acute Care Hospitals),Voluntary Nonprofit-Other,,,7661.0,1.0,2011-06-30,,92.0,,65004528.0,234651656.0,,20189972.0,52441061.0,22815404.0,,26998308.0,1169898.0,,84245696.0,4069610.0,36500.0,192058710.0,8.0,-230343.0,0.378443,890.0,2010-07-01 00:00:00,3222485.0,31.03,26185599.0,22371.0,,13731259.0,,4512522.0,,4142326.0,9776982.0,507496639.0,29458263.0,,100.0,PA,4728.0,2010,19241168.0,1567634.2784179999,4069610.0,0.09723095242080883,24833226.0,0.10583017577340259,0.4842494085677781,1.6606200840694578,0.1011380798348804,0.2015659060844661,3.37840862883168,0.7716065162545515,0.22839348374544854,,19241168.0,2.7853251518036006,7.96556321056676,non-profit
AMERY REGIONAL MEDICAL CENTER (521308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,617332.0,,2246.0,2.0,2011-04-30,,23.0,,41500415.0,49009324.0,,5275576.0,16834481.0,-309439.0,,5862449.0,5282279.0,1814246.0,60173901.0,7299290.0,9125.0,38619441.0,2.0,1521734.0,0.623372,40.65,2010-05-01 00:00:00,683530.0,,5646228.0,4284.0,2619146.0,2970286.0,2222038.0,95499.0,,11132096.0,17135314.0,61952462.0,8168184.0,,25.0,WI,1082.0,2010,18673486.0,6939436.947712,9918436.0,-0.006313880191450917,-1102522.0,-0.02249616828014196,3.2480460901330965,3.428368769590278,3.100378991791607,1.383600577453533,2.2224246185206127,0.689674664768701,0.310325335231299,0.8405634827127169,18673486.0,0.8144614722585461,6.000026933771325,non-profit
ANAHEIM GENERAL HOSPITAL (050768),General Short Term (Acute Care Hospitals),Proprietary-Corporation,47476.0,,2077.0,1.0,2011-08-31,12250806.0,100.0,,89047558.0,12734356.0,,11727779.0,15394845.0,-21934026.0,2968051.0,488282.0,16918279.0,6065519.0,8595996.0,-275747.0,40880.0,34291965.0,12.0,2469299.0,0.401135,191.04,2010-09-07 00:00:00,777564.0,,488282.0,3332.0,,525944.0,,109910.0,2326732.0,60596159.0,2848779.0,85487298.0,68755168.0,,112.0,CA,750.0,2010,-80451562.0,24307240.240465,0.0,-1.7224291515016543,-22136770.0,-1.738350176483208,0.24290865303652123,5.862590691724324,0.16723584235344136,0.0,-1.1068468502824096,10.359190255556191,-9.359190255556191,,-80451562.0,1.4814287954531389,0.18521307372850868,for-profit
ANAHEIM REGIONAL MEDICAL CENTER (050226),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2301290.0,,16227.0,1.0,2011-06-30,78658760.0,180.0,,34798551.0,191205966.0,,34682631.0,76988663.0,6330682.0,41261190.0,5577439.0,11135521.0,16213343.0,51250496.0,11032261.0,81395.0,188812597.0,32.0,4808573.0,0.158691,1057.99,2010-07-01 00:00:00,2922245.0,,5489247.0,57672.0,,1450380.0,,4978689.0,34978934.0,51854173.0,40989594.0,1189816316.0,210190731.0,,223.0,CA,12930.0,2010,16451945.0,8228790.567543,11032261.0,0.033109228401377394,-1785189.0,-0.009336471227053658,1.1818478823016627,6.3784951032117485,0.954041231762377,0.31809181373812156,2.1151633439085775,0.6789895457792252,0.3210104542207748,,16451945.0,3.730812010092546,0.9096783910989872,non-profit
ANCORA PSYCHIATRIC HOSPITAL (314005),Psychiatric,Governmental-State,,,3619.0,1.0,2011-06-30,83179154.0,709.0,,,,,,85340863.0,-141204606.0,,1008667.0,,,,,164861.0,134162044.0,,-21015772.0,81.378885,1708.0,2010-07-01 00:00:00,,,1474730.0,164861.0,,1880801.0,,,,,,1648610.0,,,709.0,NJ,900.0,2010,,,0.0,,,,,,,,,,,,,,,govt
ANGEL MEDICAL CENTER (341326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,237870.0,,3801.0,2.0,2011-09-30,,20.0,,18777087.0,37330113.0,,5327013.0,19221875.0,-210764.0,,3630132.0,3262820.0,7290987.0,30392871.0,774786.0,9125.0,33114251.0,5.0,2622438.0,0.371477,323.38,2010-10-01 00:00:00,1245888.0,,3585178.0,6011.0,,2045206.0,95735.0,667454.0,,11309309.0,7922460.0,89142029.0,11925229.0,,25.0,NC,1554.0,2010,11615784.0,4201148.179393,774786.0,-0.005645951299424141,-1941642.0,-0.05201275442161132,1.4872237030395834,2.384078094046326,1.1280464305230717,0.14544473610257755,1.6165148215565992,0.6178122165556521,0.38218778344434784,1.081777824202225,11615784.0,1.2282522766605366,3.1303476855664574,non-profit
ANGLETON-DANBURY MEDICAL CENTER (450591),General Short Term (Acute Care Hospitals),Governmental-Hospital District,241803.0,,2460.0,2.0,2011-09-30,11866857.0,52.0,,20296339.0,23014425.0,,3869576.0,11866857.0,382148.0,5154036.0,2195125.0,994465.0,11583498.0,47556428.0,6196399.0,22630.0,27683932.0,10.0,3946322.0,0.322379,237.2,2010-10-01 00:00:00,1115863.0,,2130275.0,6389.0,,2136912.0,764741.0,1771238.0,4723755.0,5337191.0,16715395.0,85873906.0,26580518.0,,62.0,TX,1798.0,2010,27260089.0,1720598.2973890002,6196399.0,0.01660471638982942,-6027118.0,-0.2618843616557876,4.319696783316829,8.47041562176321,3.573594109535515,1.6013121334223699,0.7445441208941027,0.4267843455357917,0.5732156544642083,-5.086958852735763,27260089.0,0.4839393110012384,0.86583809239534,govt
ANMED HEALTH (420027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,7986553.0,,39635.0,1.0,2011-09-30,118536878.0,317.0,,385666704.0,472512437.0,,49651589.0,155723077.0,-45679719.0,70047853.0,22604104.0,133319339.0,68253295.0,646554595.0,36385475.0,130178.0,296523492.0,25.0,21887343.0,0.208443,2745.76,2010-10-01 00:00:00,3030889.0,31.15,22032943.0,84629.0,,38045932.0,10371988.0,7060230.0,64456680.0,26656680.0,115020789.0,1422565280.0,186484894.0,,357.0,SC,20896.0,2010,260887891.0,5556398.349239999,36385475.0,-0.09667410934201505,86140551.0,0.1823032459143504,2.3165580662483936,4.488685528271814,2.1133194750323097,0.7328159225679565,1.4782851841904767,0.5964951869223046,0.4035048130776953,11.973257489306775,260887891.0,0.7308159908754496,2.5337839803796656,non-profit
ANNA JAQUES HOSPITAL (220029),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1248679.0,,12093.0,1.0,2011-09-30,47964038.0,98.0,,55878398.0,105393421.0,,11802020.0,49793757.0,-1627227.0,22726434.0,9233440.0,12484982.0,2589889.0,74602937.0,10104728.0,38810.0,99775161.0,8.0,2279766.0,0.47552,678.98,2010-10-01 00:00:00,1419649.0,,9085931.0,25410.0,,3834218.0,201801.0,1258324.0,21104788.0,27574111.0,29481450.0,209823325.0,12860835.0,,106.0,MA,6270.0,2010,18724539.0,13112041.26272,10104728.0,-0.015439550064514938,-2224936.0,-0.021110767435853516,2.4980003423142816,1.9459010406693091,2.2710923214839496,0.8561863138683039,2.984233577125717,0.749010699136416,0.25098930086358395,7.974598738361059,18724539.0,1.4127248234208258,8.19491277199342,non-profit
ANNANDALE BEHAVIORAL HEALTH HSP (244011),Psychiatric,Governmental-State,,,1094.0,2.0,2011-06-30,,14.0,,,,,,2868066.0,-4433665.0,,,,,,,5110.0,4309403.0,,,,35.07,2010-07-01 00:00:00,,,,4248.0,,369410.0,,,,,,21240.0,,,14.0,MN,275.0,2010,,,0.0,,,,,,,,,,,,,,,govt
ANNE ARUNDEL MEDICAL CENTER INC. (210023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4448292.0,,42889.0,1.0,2011-06-30,149743068.0,304.0,,490260000.0,404630367.0,,90890000.0,163867146.0,59549625.0,114767422.0,42580616.0,9359694.0,20848307.0,903599000.0,29696000.0,118260.0,354384360.0,20.0,20198458.0,0.755465,2457.63,2010-07-01 00:00:00,7944000.0,,31852348.0,106609.0,4744000.0,28523716.0,,9036000.0,105834306.0,10406541.0,150788000.0,469094600.0,71190000.0,,324.0,MD,23946.0,2010,413339000.0,7861777.496565,34440000.0,0.14717042974681135,-1382678.0,-0.0034171384867908343,1.659016393442623,1.162174056551876,1.472197161403895,0.3267246121685554,1.1860966422234533,0.5425636814560441,0.4574363185439559,,413339000.0,0.4477985998213809,5.6838090602612725,non-profit
ANNE BATES LEACH EYE HOSPITAL (100240),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,33976.0,,151.0,1.0,2011-05-31,28349109.0,56.0,,18759306.0,107419952.0,,12944342.0,29197038.0,8868452.0,324800.0,16039721.0,10193178.0,12732164.0,60625564.0,20641567.0,20440.0,83416751.0,,3459261.0,0.271493,587.94,2010-06-01 00:00:00,1199371.0,24.59,16001839.0,523.0,,2912834.0,261784.0,665074.0,254884.0,36444947.0,36112768.0,307252071.0,13606756.0,,56.0,FL,116.0,2010,41866258.0,9894547.995871,20641567.0,0.08255870380578834,3275439.0,0.030491905265420338,2.789849650140579,2.6458141325375983,2.6458141325375983,1.5946401138041624,0.44807696928634033,0.309428972899947,0.690571027100053,23.638851113895424,41866258.0,1.771859013138418,7.8946041216583875,non-profit
ANNIE JEFFREY MEM. CNTY HLTH. CTR. (281314),General Short Term (Critical Access Hospitals),Governmental-County,59899.0,,659.0,2.0,2011-06-30,,15.0,,4343784.0,11756211.0,,539949.0,2020940.0,6815801.0,,1131122.0,,,9001354.0,1344632.0,5475.0,5533222.0,,59001.0,0.840465,48.19,2010-07-01 00:00:00,162457.0,,1027820.0,1066.0,217165.0,640933.0,144822.0,140186.0,,,2968520.0,6583526.0,1498469.0,,15.0,NE,256.0,2010,4657570.0,,1561797.0,0.579761710639593,5906480.0,0.5024135752582188,5.497778493894794,5.667694541521514,4.937275557506357,2.4902944537354452,0.9326288171729035,0.4825700666810793,0.5174299333189207,45.210071674193145,4657570.0,1.3060491788235415,7.845481621575088,govt
ANOKA-METRO REGIONAL TREATMENT CTR. (244002),Psychiatric,Governmental-State,,,7225.0,1.0,2011-06-30,,175.0,,,,,,32355637.0,-37977994.0,,,,,,,77015.0,39859075.0,,,,363.18,2010-07-01 00:00:00,,,,50772.0,,1208927.0,,,,,,203088.0,,,211.0,MN,479.0,2010,,,0.0,,,,,,,,,,,,,,,govt
ANTELOPE MEMORIAL HOSPITAL (281326),Critical Access Hospitals,Voluntary Nonprofit-Other,48501.0,,1858.0,2.0,2011-06-30,,20.0,,5724389.0,13303764.0,,2184389.0,5316044.0,1264547.0,,2116031.0,613692.0,,16314684.0,1235354.0,7300.0,11221667.0,,48501.0,0.68542,96.09,2010-07-01 00:00:00,309263.0,,2005648.0,2342.0,2403761.0,972891.0,168057.0,48468.0,,1072019.0,5471890.0,16371954.0,2339505.0,,20.0,NE,261.0,2010,10590295.0,734783.26298,3639115.0,0.09505182142437284,1108109.0,0.08329289365024815,2.504997965106032,2.736975877465049,2.341230888820627,0.5655375484860984,0.5405315904797742,0.35087342175919556,0.6491265782408044,12.382703487507214,10590295.0,0.8154472375928336,5.686572159495278,non-profit
ANTELOPE VALLEY HOSPITAL (050056),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,,32404.0,1.0,2011-06-30,159530538.0,351.0,,290671933.0,339215152.0,,47531979.0,163860413.0,20116852.0,71360648.0,6310087.0,,,349302120.0,13349216.0,145635.0,304932434.0,48.0,-371530.0,0.269558,2064.8,2010-07-01 00:00:00,4781473.0,,6090323.0,115259.0,41123410.0,14545162.0,,3675975.0,67806761.0,,108186285.0,1131229711.0,37166439.0,,399.0,CA,25285.0,2010,58630187.0,,54472626.0,0.059304107972158036,7385439.0,0.021772137702150758,2.276073651383209,1.9279454995972292,2.0981419056841712,0.28084704825776347,4.957717992610189,0.8321504976837816,0.1678495023162184,,58630187.0,0.9711225113663782,9.126920983740197,govt
